True News,Count,Percentage,Precision,Recall,F1,Accuracy,,,,,,,,,,,,,,,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage,,,,
0.9847000000000006,66,0.88%,100.00%,1.69%,3.32%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.90%,100.00%,66.58%,49.90%,不确定,0,0.00%,--,--,--,--
0.9846000000000006,66,0.88%,100.00%,1.69%,3.32%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.90%,100.00%,66.58%,49.90%,不确定,0,0.00%,--,--,--,--
0.9845000000000006,67,0.89%,100.00%,1.71%,3.37%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.58%,49.91%,不确定,0,0.00%,--,--,--,--
0.9844000000000006,67,0.89%,100.00%,1.71%,3.37%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.58%,49.91%,不确定,0,0.00%,--,--,--,--
0.9843000000000006,67,0.89%,100.00%,1.71%,3.37%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.58%,49.91%,不确定,0,0.00%,--,--,--,--
0.9842000000000006,67,0.89%,100.00%,1.71%,3.37%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.58%,49.91%,不确定,0,0.00%,--,--,--,--
0.9841000000000006,68,0.91%,100.00%,1.74%,3.42%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.59%,49.91%,不确定,0,0.00%,--,--,--,--
0.9840000000000007,68,0.91%,100.00%,1.74%,3.42%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.59%,49.91%,不确定,0,0.00%,--,--,--,--
0.9839000000000007,68,0.91%,100.00%,1.74%,3.42%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.59%,49.91%,不确定,0,0.00%,--,--,--,--
0.9838000000000007,68,0.91%,100.00%,1.74%,3.42%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.91%,100.00%,66.59%,49.91%,不确定,0,0.00%,--,--,--,--
0.9837000000000007,69,0.92%,100.00%,1.77%,3.47%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.92%,100.00%,66.59%,49.92%,不确定,0,0.00%,--,--,--,--
0.9836000000000007,69,0.92%,100.00%,1.77%,3.47%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.92%,100.00%,66.59%,49.92%,不确定,0,0.00%,--,--,--,--
0.9835000000000007,69,0.92%,100.00%,1.77%,3.47%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.92%,100.00%,66.59%,49.92%,不确定,0,0.00%,--,--,--,--
0.9834000000000007,69,0.92%,100.00%,1.77%,3.47%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.92%,100.00%,66.59%,49.92%,不确定,0,0.00%,--,--,--,--
0.9833000000000007,69,0.92%,100.00%,1.77%,3.47%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.92%,100.00%,66.59%,49.92%,不确定,0,0.00%,--,--,--,--
0.9832000000000007,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9831000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9830000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9829000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9828000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9827000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9826000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9825000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9824000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9823000000000008,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9822000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9821000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9820000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9819000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9818000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9817000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9816000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9815000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9814000000000009,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9813,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9812,70,0.93%,100.00%,1.79%,3.52%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.60%,49.93%,不确定,0,0.00%,--,--,--,--
0.9811,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.981,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
